_time,cpuUsage,memUsage,id,cpuUsage,memUsage,id,cpuUsage,memUsage,id,cpuUsage,memUsage,id,cpuUsage,memUsage,id,mean_cpu,mean_mem
2023-04-25T21:30:25Z,17.42339134,8.15234375,251d087a1a15,15.72990417,9.5,7f7db06a3e1d,17.72284508,7.626953125,2725fb5d778e,15.74540138,8.220703125,34d4d8e8b576,16.91500473,7.62109375,7a2724dd8a17,16.70730934,8.22421875
2023-04-25T21:30:50Z,15.85078239,8.15234375,251d087a1a15,16.4686842,9.28125,7f7db06a3e1d,14.41383362,7.626953125,2725fb5d778e,16.57366753,8.1875,34d4d8e8b576,13.1893158,7.62109375,7a2724dd8a17,15.29925671,8.173828125
2023-04-25T21:31:15Z,11.66248322,8.15234375,251d087a1a15,13.37051392,9.05859375,7f7db06a3e1d,12.85457611,7.626953125,2725fb5d778e,15.85706139,8.1875,34d4d8e8b576,15.81509972,7.619140148,7a2724dd8a17,13.91194687,8.128906155
2023-04-25T21:31:40Z,15.01297951,8.15234375,251d087a1a15,12.95137405,9.086914063,7f7db06a3e1d,12.62545586,7.653320313,2725fb5d778e,12.40873337,8.1875,34d4d8e8b576,14.00136948,7.619140148,7a2724dd8a17,13.39998245,8.139843655
2023-04-25T21:32:05Z,18.14770699,8.15234375,251d087a1a15,16.4969759,9.05859375,7f7db06a3e1d,14.93740082,7.623046875,2725fb5d778e,15.66004753,8.1875,34d4d8e8b576,17.20380783,7.619140148,7a2724dd8a17,16.48918781,8.128124905
2023-04-25T21:32:30Z,15.88058472,8.15234375,251d087a1a15,16.8800354,9.05859375,7f7db06a3e1d,18.07594299,7.69140625,2725fb5d778e,18.08404922,8.244140625,34d4d8e8b576,14.88256454,7.619140148,7a2724dd8a17,16.76063538,8.153124905
2023-04-25T21:32:55Z,12.86506653,8.150390625,251d087a1a15,14.83058929,9.05859375,7f7db06a3e1d,14.17613029,7.657226563,2725fb5d778e,17.53330231,8.1875,34d4d8e8b576,15.41519165,7.683593273,7a2724dd8a17,14.96405602,8.147460842
2023-04-25T21:33:20Z,10.3456974,8.146484375,251d087a1a15,14.04666901,9.05859375,7f7db06a3e1d,10.63656807,7.623046875,2725fb5d778e,9.875297546,8.1875,34d4d8e8b576,8.6581707,7.619140148,7a2724dd8a17,10.71248055,8.12695303
2023-04-25T21:33:45Z,12.18414307,8.146484375,251d087a1a15,8.259773254,9.05859375,7f7db06a3e1d,10.01977921,7.623046875,2725fb5d778e,11.33966446,8.189453125,34d4d8e8b576,10.00404358,7.619140148,7a2724dd8a17,10.36148071,8.127343655
2023-04-25T21:34:10Z,12.84599304,8.146484375,251d087a1a15,11.94286346,9.060546875,7f7db06a3e1d,12.24660873,7.625,2725fb5d778e,14.31131363,8.189453125,34d4d8e8b576,13.13924789,7.619140148,7a2724dd8a17,12.89720535,8.128124905
2023-04-25T21:34:35Z,10.38169861,8.146484375,251d087a1a15,13.1971035,9.061523438,7f7db06a3e1d,12.9237175,7.625,2725fb5d778e,13.08774948,8.1875,34d4d8e8b576,11.07931137,7.619140148,7a2724dd8a17,12.13391609,8.127929592
2023-04-25T21:35:00Z,15.24925232,8.146484375,251d087a1a15,17.43793488,9.0625,7f7db06a3e1d,16.26968384,7.625,2725fb5d778e,23.82278442,8.310546875,34d4d8e8b576,14.19258118,7.619140148,7a2724dd8a17,17.39444733,8.15273428
2023-04-25T21:35:25Z,16.47233963,8.146484375,251d087a1a15,15.34461975,9.0625,7f7db06a3e1d,15.0270462,7.625976563,2725fb5d778e,16.34407043,8.185546875,34d4d8e8b576,14.83869553,7.619140148,7a2724dd8a17,15.60535431,8.127929592
2023-04-25T21:35:50Z,17.99154282,8.426757813,251d087a1a15,16.65592194,9.0625,7f7db06a3e1d,18.22948456,7.753906488,2725fb5d778e,18.76735687,8.185546875,34d4d8e8b576,17.82274246,7.619140148,7a2724dd8a17,17.89340973,8.209570265
2023-04-25T21:36:15Z,19.26422119,8.716796875,251d087a1a15,18.1646347,9.0625,7f7db06a3e1d,23.36597443,8.23046875,2725fb5d778e,17.13180542,8.185546875,34d4d8e8b576,22.23396301,7.619140148,7a2724dd8a17,20.03211975,8.36289053
